"","Approved Symbol","Protein_Name","Chromosome","Chromosome band","UniProt ID(supplied by UniProt)","arm"
"9636","GCSAML","GCSAM","1","1q44","Q5JQS6","q"
"9637","GCSAML-AS1","GCSAML","1","1q44",NA,"q"
"9638","GCSH","GCSAML-AS1","16","16q23.2","P23434","q"
"9639","GCSHP1","GCSH","5","5p13.1",NA,"p"
"9640","GCSHP2","GCSHP1","14","14q32.32",NA,"q"
"9641","GCSHP3","GCSHP2","2","2q33.3",NA,"q"
"9642","GCSHP4","GCSHP3","12","12p13.31",NA,"p"
"9643","GCSHP5","GCSHP4","1","1q24.2",NA,"q"
"9644","GCY","GCSHP5","Y","Yq11",NA,"q"
"9645","GDA","GCY","9","9q21.13","Q9Y2T3","q"
"9646","GDAP1","GDA","8","8q21.11","Q8TB36","q"
"9647","GDAP1L1","GDAP1","20","20q13.12","Q96MZ0","q"
"9648","GDAP2","GDAP1L1","1","1p12","Q9NXN4","p"
"9649","GDE1","GDAP2","16","16p12.3","Q9NZC3","p"
"9650","GDF1","GDE1","19","19p13.11","P27539","p"
"9651","GDF2","GDF1","10","10q11.22","Q9UK05","q"
"9652","GDF3","GDF10","12","12p13.31","Q9NR23","p"
"9653","GDF5","GDF11","20","20q11.22","P43026","q"
"9654","GDF5OS","GDF15","20","20q11.22","Q5U4N7","q"
"9655","GDF6","GDF2","8","8q22.1","Q6KF10","q"
"9656","GDF7","GDF3","2","2p24.1","Q7Z4P5","p"
"9657","GDF9","GDF5","5","5q31.1","O60383","q"
"9658","GDF10","GDF5OS","10","10q11.22","P55107","q"
"9659","GDF11","GDF6","12","12q13.2","O95390","q"
"9660","GDF15","GDF7","19","19p13.11","Q99988","p"
"9661","GDI1","GDF9","X","Xq28","P31150","q"
"9662","GDI2","GDI1","10","10p15.1","P50395","p"
"9663","GDI2P1","GDI2","7","7p12.3",NA,"p"
"9664","GDI2P2","GDI2P1","1","1p31.1",NA,"p"
"9665","GDNF","GDI2P2","5","5p13.2","P39905","p"
"9666","GDNF-AS1","GDNF","5","5p13.2",NA,"p"
"9667","GDPD1","GDNF-AS1","17","17q22","Q8N9F7","q"
"9668","GDPD2","GDPD1","X","Xq13.1","Q9HCC8","q"
"9669","GDPD3","GDPD2","16","16p11.2","Q7L5L3","p"
"9670","GDPD4","GDPD3","11","11q13.5","Q6W3E5","q"
"9671","GDPD5","GDPD4","11","11q13.4-q13.5","Q8WTR4","q"
"9672","GDPGP1","GDPD5","15","15q26.1","Q6ZNW5","q"
"9673","GEM","GDPGP1","8","8q22.1","P55040","q"
"9674","GEMIN2","GEM","14","14q21.1","O14893","q"
"9675","GEMIN2P1","GEMIN2","1","1q21.3",NA,"q"
"9676","GEMIN2P2","GEMIN2P1","3","3p22.1",NA,"p"
"9677","GEMIN4","GEMIN2P2","17","17p13.3","P57678","p"
"9678","GEMIN5","GEMIN4","5","5q33.2","Q8TEQ6","q"
"9679","GEMIN6","GEMIN5","2","2p22.1","Q8WXD5","p"
"9680","GEMIN7","GEMIN6","19","19q13.32","Q9H840","q"
"9681","GEMIN8","GEMIN7","X","Xp22.2","Q9NWZ8","p"
"9682","GEMIN8P1","GEMIN8","15","15q23",NA,"q"
"9683","GEMIN8P2","GEMIN8P1","16","16q21",NA,"q"
"9684","GEMIN8P3","GEMIN8P2","X","Xq21.2",NA,"q"
"9685","GEMIN8P4","GEMIN8P3","1","1p22.2",NA,"p"
"9686","GEN1","GEMIN8P4","2","2p24.2","Q17RS7","p"
"9687","GET4","GEN1","7","7p22.3","Q7L5D6","p"
"9688","GFAP","GET4","17","17q21.31","P14136","q"
"9689","GFER","GFAP","16","16p13.3","P55789","p"
"9690","GFI1","GFER","1","1p22.1","Q99684","p"
"9691","GFI1B","GFI1","9","9q34.13","Q5VTD9","q"
"9692","GFM1","GFI1B","3","3q25.32","Q96RP9","q"
"9693","GFM2","GFM1","5","5q13.3","Q969S9","q"
"9694","GFOD1","GFM2","6","6p24.1-p23","Q9NXC2","p"
"9695","GFOD1-AS1","GFOD1","6","6p23",NA,"p"
"9696","GFOD2","GFOD1-AS1","16","16q22.1","Q3B7J2","q"
"9697","GFPT1","GFOD2","2","2p13.3","Q06210","p"
"9698","GFPT2","GFPT1","5","5q35.3","O94808","q"
"9699","GFRA1","GFPT2","10","10q25.3","P56159","q"
"9700","GFRA2","GFRA1","8","8p21.3","O00451","p"
"9701","GFRA3","GFRA2","5","5q31.2","O60609","q"
"9702","GFRA4","GFRA3","20","20p13","Q9GZZ7","p"
"9703","GFRAL","GFRA4","6","6p12.1","Q6UXV0","p"
"9704","GFY","GFRAL","19","19q13.33","I3L273","q"
"9705","GGA1","GFY","22","22q13.1","Q9UJY5","q"
"9706","GGA2","GGA1","16","16p12.2","Q9UJY4","p"
"9707","GGA3","GGA2","17","17q25.1","Q9NZ52","q"
"9708","GGACT","GGA3","13","13q32.3","Q9BVM4","q"
"9709","GGCT","GGACT","7","7p14.3","O75223","p"
"9710","GGCX","GGCT","2","2p11.2","P38435","p"
"9711","GGH","GGCX","8","8q12.3","Q92820","q"
"9712","GGN","GGH","19","19q13.2","Q86UU5","q"
"9713","GGNBP1","GGN","6","6p21.31","Q5YKI7","p"
"9714","GGNBP2","GGNBP1","17","17q12","Q9H3C7","q"
"9715","GGPS1","GGNBP2","1","1q42.3","O95749","q"
"9716","GGT1","GGPS1","22","22q11.23","P19440","q"
"9717","GGT2","GGT1","22","22q11.21","P36268","q"
"9718","GGT3P","GGT2","22","22q11.21","A6NGU5","q"
"9719","GGT4P","GGT3P","13","13q11",NA,"q"
"9720","GGT5","GGT4P","22","22q11.23","P36269","q"
"9721","GGT6","GGT5","17","17p13.2","Q6P531","p"
"9722","GGT7","GGT6","20","20q11.22","Q9UJ14","q"
"9723","GGT8P","GGT7","2","2p11.2",NA,"p"
"9724","GGTA1P","GGT8P","9","9q33.2","Q4G0N0","q"
"9725","GGTA2P","GGTA1P","12","12q14.3",NA,"q"
"9726","GGTLC1","GGTA2P","20","20p11.21","Q9BX51","p"
"9727","GGTLC2","GGTLC1","22","22q11.22","Q14390","q"
"9728","GGTLC3","GGTLC2","22","22q11.21","B5MD39","q"
"9729","GGTLC4P","GGTLC3","22","22q11.23",NA,"q"
"9730","GGTLC5P","GGTLC4P","22","22q11.21",NA,"q"
"9731","GH1","GGTLC5P","17","17q23.3","P01241","q"
"9732","GH2","GH1","17","17q23.3","P01242","q"
"9733","GHDC","GH2","17","17q21.2","Q8N2G8","q"
"9734","GHET1","GHDC","7","7q36.1",NA,"q"
"9735","GHITM","GHET1","10","10q23.1","Q9H3K2","q"
"9736","GHR","GHITM","5","5p13.1-p12","P10912","p"
"9737","GHRH","GHR","20","20q11.23","P01286","q"
"9738","GHRHR","GHRH","7","7p14.3","Q02643","p"
"9739","GHRL","GHRHR","3","3p25.3","Q9UBU3","p"
"9740","GHRLOS","GHRL","3","3p25.3",NA,"p"
"9741","GHSR","GHRLOS","3","3q26.31","Q92847","q"
"9742","GID4","GHSR","17","17p11.2","Q8IVV7","p"
"9743","GID8","GID4","20","20q13.33","Q9NWU2","q"
"9744","GIF","GID8","11","11q12.1","P27352","q"
"9745","GIGYF1","GIF","7","7q22.1","O75420","q"
"9746","GIGYF2","GIGYF1","2","2q37.1","Q6Y7W6","q"
"9747","GIMAP1","GIGYF2","7","7q36.1","Q8WWP7","q"
"9748","GIMAP1-GIMAP5","GIMAP1","7","7q36.1",NA,"q"
"9749","GIMAP2","GIMAP1-GIMAP5","7","7q36.1","Q9UG22","q"
"9750","GIMAP3P","GIMAP2","7","7q36.1",NA,"q"
"9751","GIMAP4","GIMAP3P","7","7q36.1","Q9NUV9","q"
"9752","GIMAP5","GIMAP4","7","7q36.1","Q96F15","q"
"9753","GIMAP6","GIMAP5","7","7q36.1","Q6P9H5","q"
"9754","GIMAP7","GIMAP6","7","7q36.1","Q8NHV1","q"
"9755","GIMAP8","GIMAP7","7","7q36.1","Q8ND71","q"
"9756","GIMD1","GIMAP8","4","4q24","P0DJR0","q"
"9757","GIN1","GIMD1","5","5q21.1","Q9NXP7","q"
"9758","GINGF2","GIN1","5","5q13-q22",NA,"q"
"9759","GINGF3","GINGF2","2","2p23.3-p22.3",NA,"p"
"9760","GINGF4","GINGF3","11","11p15",NA,"p"
"9761","GINM1","GINGF4","6","6q25.1","Q9NU53","q"
"9762","GINS1","GINM1","20","20p11.21","Q14691","p"
"9763","GINS2","GINS1","16","16q24.1","Q9Y248","q"
"9764","GINS3","GINS2","16","16q21","Q9BRX5","q"
"9765","GINS4","GINS3","8","8p11.21","Q9BRT9","p"
"9766","GIP","GINS4","17","17q21.32","P09681","q"
"9767","GIPC1","GIP","19","19p13.12","O14908","p"
"9768","GIPC2","GIPC1","1","1p31.1","Q8TF65","p"
"9769","GIPC3","GIPC2","19","19p13.3","Q8TF64","p"
"9770","GIPR","GIPC3","19","19q13.32","P48546","q"
"9771","GIT1","GIPR","17","17q11.2","Q9Y2X7","q"
"9772","GIT2","GIT1","12","12q24.11","Q14161","q"
"9773","GJA1","GIT2","6","6q22.31","P17302","q"
"9774","GJA1P1","GJA1","5","5q21.3",NA,"q"
"9775","GJA3","GJA10","13","13q12.11","Q9Y6H8","q"
"9776","GJA4","GJA1P1","1","1p34.3","P35212","p"
"9777","GJA5","GJA3","1","1q21.2","P36382","q"
"9778","GJA6P","GJA4","X","Xp22.13",NA,"p"
"9779","GJA8","GJA5","1","1q21.2","P48165","q"
"9780","GJA9","GJA6P","1","1p34.3","P57773","p"
"9781","GJA10","GJA8","6","6q15","Q969M2","q"
"9782","GJB1","GJA9","X","Xq13.1","P08034","q"
"9783","GJB2","GJB1","13","13q12.11","P29033","q"
"9784","GJB3","GJB2","1","1p34.3","O75712","p"
"9785","GJB4","GJB3","1","1p34.3","Q9NTQ9","p"
"9786","GJB5","GJB4","1","1p34.3","O95377","p"
"9787","GJB6","GJB5","13","13q12.11","O95452","q"
"9788","GJB7","GJB6","6","6q14.3-q15","Q6PEY0","q"
"9789","GJC1","GJB7","17","17q21.31","P36383","q"
"9790","GJC2","GJC1","1","1q42.13","Q5T442","q"
"9791","GJC3","GJC2","7","7q22.1","Q8NFK1","q"
"9792","GJD2","GJC3","15","15q14","Q9UKL4","q"
"9793","GJD3","GJD2","17","17q21.2","Q8N144","q"
"9794","GJD4","GJD3","10","10p11.21","Q96KN9","p"
"9795","GJE1","GJD4","6","6q24.1","A6NN92","q"
"9796","GK","GJE1","X","Xp21.2","P32189","p"
"9797","GK-AS1","GK","X","Xp21.2",NA,"p"
"9798","GK-IT1","GK-AS1","X","Xp21.2",NA,"p"
"9799","GK2","GK-IT1","4","4q21.21","Q14410","q"
"9800","GK3P","GK2","4","4q32.3","Q14409","q"
"9801","GK4P","GK3P","X","Xq22.1",NA,"q"
"9802","GK5","GK4P","3","3q23","Q6ZS86","q"
"9803","GK6P","GK5","4","4q26",NA,"q"
"9804","GKAP1","GK6P","9","9q21.32","Q5VSY0","q"
"9805","GKN1","GKAP1","2","2p13.3","Q9NS71","p"
"9806","GKN2","GKN1","2","2p13.3","Q86XP6","p"
"9807","GKN3P","GKN2","2","2p13.3","P0CG01","p"
"9808","GLA","GKN3P","X","Xq22.1","P06280","q"
"9809","GLB1","GLA","3","3p22.3","P16278","p"
"9810","GLB1L","GLB1","2","2q35","Q6UWU2","q"
"9811","GLB1L2","GLB1L","11","11q25","Q8IW92","q"
"9812","GLB1L3","GLB1L2","11","11q25","Q8NCI6","q"
"9813","GLC1B","GLB1L3","2cen-","2cen-q13",NA,"q"
"9814","GLC1C","GLC1B","3","3q21-q24",NA,"q"
"9815","GLC1D","GLC1C","8","8q23",NA,"q"
"9816","GLC1H","GLC1D","2","2p16.3-p15",NA,"p"
"9817","GLC1I","GLC1H","15","15q11-q13",NA,"q"
"9818","GLC1J","GLC1I","9","9q22",NA,"q"
"9819","GLC1K","GLC1J","20","20p12",NA,"p"
"9820","GLC1L","GLC1K","3","3p22-p21",NA,"p"
"9821","GLC1M","GLC1L","5","5q",NA,"q"
"9822","GLC1N","GLC1M","15","15q22-q24",NA,"q"
"9823","GLC1P","GLC1N","12","12q14",NA,"q"
"9824","GLC1Q","GLC1P","4","4q35.1-q35.2",NA,"q"
"9825","GLC2A","GLC1Q","reserved","reserved",NA,"d"
"9826","GLC3B","GLC2A","1","1p36",NA,"p"
"9827","GLC3C","GLC3B","14","14q24.3-q31.1",NA,"q"
"9828","GLCCI1","GLC3C","7","7p21.3","Q86VQ1","p"
"9829","GLCE","GLCCI1","15","15q23","O94923","q"
"9830","GLDC","GLCE","9","9p24.1","P23378","p"
"9831","GLDCP1","GLDC","4","4q12",NA,"q"
"9832","GLDN","GLDCP1","15","15q21.2","Q6ZMI3","q"
"9833","GLE1","GLDN","9","9q34.11","Q53GS7","q"
"9834","GLG1","GLE1","16","16q23.1","Q92896","q"
"9835","GLI1","GLG1","12","12q13.3","P08151","q"
"9836","GLI2","GLI1","2","2q14.2","P10070","q"
"9837","GLI3","GLI2","7","7p14.1","P10071","p"
"9838","GLI4","GLI3","8","8q24.3","P10075","q"
"9839","GLIDR","GLI4","9","9p12",NA,"p"
"9840","GLIPR1","GLIDR","12","12q21.2","P48060","q"
"9841","GLIPR1L1","GLIPR1","12","12q21.2","Q6UWM5","q"
"9842","GLIPR1L2","GLIPR1L1","12","12q21.2","Q4G1C9","q"
"9843","GLIPR2","GLIPR1L2","9","9p13.3","Q9H4G4","p"
"9844","GLIS1","GLIPR2","1","1p32.3","Q8NBF1","p"
"9845","GLIS2","GLIS1","16","16p13.3","Q9BZE0","p"
"9846","GLIS2-AS1","GLIS2","16","16p13.3",NA,"p"
"9847","GLIS3","GLIS2-AS1","9","9p24.2","Q8NEA6","p"
"9848","GLIS3-AS1","GLIS3","9","9p24.2",NA,"p"
"9849","GLMN","GLIS3-AS1","1","1p22.1","Q92990","p"
"9850","GLMP","GLMN","1","1q22","Q8WWB7","q"
"9851","GLO1","GLMP","6","6p21.2","Q04760","p"
"9852","GLOD4","GLO1","17","17p13.3","Q9HC38","p"
"9853","GLOD5","GLOD4","X","Xp11.23","A6NK44","p"
"9854","GLP1R","GLOD5","6","6p21.2","P43220","p"
"9855","GLP2R","GLP1R","17","17p13.1","O95838","p"
"9856","GLRA1","GLP2R","5","5q33.1","P23415","q"
"9857","GLRA2","GLRA1","X","Xp22.2","P23416","p"
"9858","GLRA3","GLRA2","4","4q34.1","O75311","q"
"9859","GLRA4","GLRA3","X","Xq22.2","Q5JXX5","q"
"9860","GLRB","GLRA4","4","4q32.1","P48167","q"
"9861","GLRX","GLRB","5","5q15","P35754","q"
"9862","GLRX2","GLRX","1","1q31.2","Q9NS18","q"
"9863","GLRX3","GLRX2","10","10q26.3","O76003","q"
"9864","GLRX3P1","GLRX3","9","9p21.3",NA,"p"
"9865","GLRX3P2","GLRX3P1","6","6p25.2",NA,"p"
"9866","GLRX5","GLRX3P2","14","14q32.13","Q86SX6","q"
"9867","GLRXP1","GLRX5","20","20q11.23",NA,"q"
"9868","GLRXP2","GLRXP1","14","14q32.11",NA,"q"
"9869","GLRXP3","GLRXP2","5","5q34",NA,"q"
"9870","GLS","GLRXP3","2","2q32.2","O94925","q"
"9871","GLS2","GLS","12","12q13.3","Q9UI32","q"
"9872","GLT1D1","GLS2","12","12q24.33","Q96MS3","q"
"9873","GLT6D1","GLT1D1","9","9q34.3","Q7Z4J2","q"
"9874","GLT8D1","GLT6D1","3","3p21.1","Q68CQ7","p"
"9875","GLT8D2","GLT8D1","12","12q23.3","Q9H1C3","q"
"9876","GLTP","GLT8D2","12","12q24.11","Q9NZD2","q"
"9877","GLTPD2","GLTP","17","17p13.2","A6NH11","p"
"9878","GLTPP1","GLTPD2","11","11p15.1",NA,"p"
"9879","GLTSCR1","GLTPP1","19","19q13.33","Q9NZM4","q"
"9880","GLTSCR1-AS1","GLTSCR1","19","19q13.33",NA,"q"
"9881","GLTSCR1L","GLTSCR1-AS1","6","6p21.1","Q6AI39","p"
"9882","GLUD1","GLTSCR1L","10","10q23.2","P00367","q"
"9883","GLUD1P2","GLUD1","10","10q11.22",NA,"q"
"9884","GLUD1P3","GLUD1P2","10","10q22.2",NA,"q"
"9885","GLUD1P4","GLUD1P3","18","18q21.32",NA,"q"
"9886","GLUD1P5","GLUD1P4","10","10p11.2",NA,"p"
"9887","GLUD1P6","GLUD1P5","10","10q11.22 not on reference assembly",NA,"y"
"9888","GLUD1P8","GLUD1P6","10","10q11.22",NA,"q"
"9889","GLUD1P9","GLUD1P8","X","Xq23",NA,"q"
"9890","GLUD2","GLUD1P9","X","Xq24","P49448","q"
"9891","GLUL","GLUD2","1","1q25.3","P15104","q"
"9892","GLULP1","GLUL","5","5q33.1",NA,"q"
"9893","GLULP2","GLULP1","11","11p15.4",NA,"p"
"9894","GLULP3","GLULP2","11","11q24.1",NA,"q"
"9895","GLULP4","GLULP3","9","9p13.3",NA,"p"
"9896","GLULP5","GLULP4","12","12q24.21",NA,"q"
"9897","GLULP6","GLULP5","2","2q32.3",NA,"q"
"9898","GLYAT","GLULP6","11","11q12.1","Q6IB77","q"
"9899","GLYATL1","GLYAT","11","11q12.1","Q969I3","q"
"9900","GLYATL1P1","GLYATL1","11","11q12.1",NA,"q"
"9901","GLYATL1P2","GLYATL1P1","11","11q12.1",NA,"q"
"9902","GLYATL1P3","GLYATL1P2","11","11q12.1",NA,"q"
"9903","GLYATL1P4","GLYATL1P3","11","11q12.1",NA,"q"
"9904","GLYATL2","GLYATL1P4","11","11q12.1","Q8WU03","q"
"9905","GLYATL3","GLYATL2","6","6p12.3","Q5SZD4","p"
"9906","GLYB","GLYATL3","8","8q21.1-qter",NA,"r"
"9907","GLYCAM1","GLYB","12","12q13.2","Q8IVK1","q"
"9908","GLYCTK","GLYCAM1","3","3p21.2","Q8IVS8","p"
"9909","GLYCTK-AS1","GLYCTK","3","3p21.1",NA,"p"
"9910","GLYR1","GLYCTK-AS1","16","16p13.3","Q49A26","p"
"9911","GLYS1","GLYR1","6","6p21.3",NA,"p"
"9912","GM2A","GLYS1","5","5q33.1","P17900","q"
"9913","GM2AP1","GM2A","3","3q24",NA,"q"
"9914","GM2AP2","GM2AP1","1","1q24.3",NA,"q"
"9915","GMCL1","GM2AP2","2","2p13.3","Q96IK5","p"
"9916","GMCL1P1","GMCL1","5","5q35.3","Q8NEA9","q"
"9917","GMCL1P2","GMCL1P1","2","2q12.3",NA,"q"
"9918","GMDS","GMCL1P2","6","6p25.3","O60547","p"
"9919","GMDS-AS1","GMDS","6","6p25.3-p25.2",NA,"p"
"9920","GMEB1","GMDS-AS1","1","1p35.3","Q9Y692","p"
"9921","GMEB2","GMEB1","20","20q13.33","Q9UKD1","q"
"9922","GMFA","GMEB2","reserved","reserved",NA,"d"
"9923","GMFB","GMFA","14","14q22.2","P60983","q"
"9924","GMFBP1","GMFB","3","3q12.2",NA,"q"
"9925","GMFG","GMFBP1","19","19q13.2","O60234","q"
"9926","GMIP","GMFG","19","19p13.11","Q9P107","p"
"9927","GML","GMIP","8","8q24.3","Q99445","q"
"9928","GMNC","GML","3","3q28","A6NCL1","q"
"9929","GMNN","GMNC","6","6p22.3","O75496","p"
"9930","GMPPA","GMNN","2","2q35","Q96IJ6","q"
"9931","GMPPB","GMPPA","3","3p21.31","Q9Y5P6","p"
"9932","GMPR","GMPPB","6","6p22.3","P36959","p"
"9933","GMPR2","GMPR","14","14q12","Q9P2T1","q"
"9934","GMPS","GMPR2","3","3q25.31","P49915","q"
"9935","GMPSP1","GMPS","4","4p16.1",NA,"p"
"9936","GNA11","GMPSP1","19","19p13.3","P29992","p"
"9937","GNA12","GNA11","7","7p22.3-p22.2","Q03113","p"
"9938","GNA13","GNA12","17","17q24.1","Q14344","q"
"9939","GNA14","GNA13","9","9q21.2","O95837","q"
"9940","GNA14-AS1","GNA14","9","9q21.2",NA,"q"
"9941","GNA15","GNA14-AS1","19","19p13.3","P30679","p"
"9942","GNAI1","GNA15","7","7q21.11","P63096","q"
"9943","GNAI2","GNAI1","3","3p21.31","P04899","p"
"9944","GNAI2P1","GNAI2","12","12p13.1",NA,"p"
"9945","GNAI2P2","GNAI2P1","10","10q22.3",NA,"q"
"9946","GNAI3","GNAI2P2","1","1p13.3","P08754","p"
"9947","GNAL","GNAI3","18","18p11.21","P38405","p"
"9948","GNAO1","GNAL","16","16q13","P09471","q"
"9949","GNAQ","GNAO1","9","9q21.2","P50148","q"
"9950","GNAQP1","GNAQ","2","2q21.1",NA,"q"
"9951","GNAS","GNAQP1","20","20q13.32","O95467, P63092, P84996, Q5JWF2","q"
"9952","GNAS-AS1","GNAS","20","20q13.32",NA,"q"
"9953","GNAT1","GNAS-AS1","3","3p21.31","P11488","p"
"9954","GNAT2","GNAT1","1","1p13.3","P19087","p"
"9955","GNAT3","GNAT2","7","7q21.11","A8MTJ3","q"
"9956","GNAZ","GNAT3","22","22q11.22-q11.23","P19086","q"
"9957","GNB1","GNAZ","1","1p36.33","P62873","p"
"9958","GNB1L","GNB1","22","22q11.21","Q9BYB4","q"
"9959","GNB2","GNB1L","7","7q22.1","P62879","q"
"9960","GNB3","GNB2","12","12p13.31","P16520","p"
"9961","GNB4","GNB3","3","3q26.33","Q9HAV0","q"
"9962","GNB5","GNB4","15","15q21.2","O14775","q"
"9963","GNE","GNB5","9","9p13.3","Q9Y223","p"
"9964","GNG2","GNE","14","14q22.1","P59768","q"
"9965","GNG3","GNG10","11","11q12.3","P63215","q"
"9966","GNG4","GNG10P1","1","1q42.3","P50150","q"
"9967","GNG5","GNG11","1","1p22.3","P63218","p"
"9968","GNG5P1","GNG12","6","6q27",NA,"q"
"9969","GNG5P2","GNG12-AS1","X","Xq23",NA,"q"
"9970","GNG5P3","GNG13","11","11q23.1",NA,"q"
"9971","GNG5P4","GNG2","2","2p13.1",NA,"p"
"9972","GNG5P5","GNG3","13","13q14.2",NA,"q"
"9973","GNG7","GNG4","19","19p13.3","O60262","p"
"9974","GNG8","GNG5","19","19q13.32","Q9UK08","q"
"9975","GNG10","GNG5P1","9","9q31.3","P50151","q"
"9976","GNG10P1","GNG5P2","10","10q26.2",NA,"q"
"9977","GNG11","GNG5P3","7","7q21.3","P61952","q"
"9978","GNG12","GNG5P4","1","1p31.3","Q9UBI6","p"
"9979","GNG12-AS1","GNG5P5","1","1p31.3",NA,"p"
"9980","GNG13","GNG7","16","16p13.3","Q9P2W3","p"
"9981","GNGT1","GNG8","7","7q21.3","P63211","q"
"9982","GNGT2","GNGT1","17","17q21","O14610","q"
"9983","GNL1","GNGT2","6","6p21.33","P36915","p"
"9984","GNL2","GNL1","1","1p34.3","Q13823","p"
"9985","GNL2P1","GNL2","7","7p12.2",NA,"p"
"9986","GNL3","GNL2P1","3","3p21.1","Q9BVP2","p"
"9987","GNL3L","GNL3","X","Xp11.22","Q9NVN8","p"
"9988","GNL3LP1","GNL3L","5","5q12.1",NA,"q"
"9989","GNLY","GNL3LP1","2","2p11.2","P22749","p"
"9990","GNMT","GNLY","6","6p21.1","Q14749","p"
"9991","GNPAT","GNMT","1","1q42.2","O15228","q"
"9992","GNPATP","GNPAT","16","16q21",NA,"q"
"9993","GNPDA1","GNPATP","5","5q31.3","P46926","q"
"9994","GNPDA2","GNPDA1","4","4p12","Q8TDQ7","p"
"9995","GNPNAT1","GNPDA2","14","14q22.1","Q96EK6","q"
"9996","GNPTAB","GNPNAT1","12","12q23.2","Q3T906","q"
"9997","GNPTG","GNPTAB","16","16p13.3","Q9UJJ9","p"
"9998","GNRH1","GNPTG","8","8p21.2","P01148","p"
"9999","GNRH2","GNRH1","20","20p13","O43555","p"
"10000","GNRHR","GNRH2","4","4q13.2","P30968","q"
"10001","GNRHR2","GNRHR","1","1q21.1","Q96P88","q"
"10002","GNRHR2P1","GNRHR2","14","14q23.1",NA,"q"
"10003","GNS","GNRHR2P1","12","12q14.3","P15586","q"
"10004","GOLGA1","GNS","9","9q33.3","Q92805","q"
"10005","GOLGA2","GOLGA1","9","9q34.11","Q08379","q"
"10006","GOLGA2P1","GOLGA2","8","8q21.3",NA,"q"
"10007","GOLGA2P2Y","GOLGA2P1","Y","Yq11.23",NA,"q"
"10008","GOLGA2P3Y","GOLGA2P10","Y","Yq11.23",NA,"q"
"10009","GOLGA2P4","GOLGA2P11","22","22q13.2",NA,"q"
"10010","GOLGA2P5","GOLGA2P2Y","12","12q23.1","Q9HBQ8","q"
"10011","GOLGA2P6","GOLGA2P3Y","10","10p11.23",NA,"p"
"10012","GOLGA2P7","GOLGA2P4","15","15q25.2",NA,"q"
"10013","GOLGA2P8","GOLGA2P5","15","15q26.1",NA,"q"
"10014","GOLGA2P9","GOLGA2P6","19","19p12",NA,"p"
"10015","GOLGA2P10","GOLGA2P7","15","15q25.2",NA,"q"
"10016","GOLGA2P11","GOLGA2P8","15","15q22.2",NA,"q"
"10017","GOLGA3","GOLGA2P9","12","12q24.33","Q08378","q"
"10018","GOLGA4","GOLGA3","3","3p22.2","Q13439","p"
"10019","GOLGA4P1","GOLGA4","14","14q32.33",NA,"q"
"10020","GOLGA4P2","GOLGA4P1","14","14q32.33",NA,"q"
"10021","GOLGA4P3","GOLGA4P2","14","14q32.33",NA,"q"
"10022","GOLGA5","GOLGA4P3","14","14q32.12","Q8TBA6","q"
"10023","GOLGA5P1","GOLGA5","5","5p13.1",NA,"p"
"10024","GOLGA6A","GOLGA5P1","15","15q24.1","Q9NYA3","q"
"10025","GOLGA6B","GOLGA6A","15","15q24.1","A6NDN3","q"
"10026","GOLGA6C","GOLGA6B","15","15q24.2","A6NDK9","q"
"10027","GOLGA6D","GOLGA6C","15","15q24.2","P0CG33","q"
"10028","GOLGA6L1","GOLGA6D","15","15q11.2","Q8N7Z2","q"
"10029","GOLGA6L2","GOLGA6L1","15","15q11.2","Q8N9W4","q"
"10030","GOLGA6L3","GOLGA6L10","15","15q25.3","A6NEY3","q"
"10031","GOLGA6L4","GOLGA6L11P","15","15q25.2","A6NEF3","q"
"10032","GOLGA6L5P","GOLGA6L12P","15","15q25.2",NA,"q"
"10033","GOLGA6L6","GOLGA6L13P","15","15q11.2","A8MZA4","q"
"10034","GOLGA6L7P","GOLGA6L14P","15","15q13.1",NA,"q"
"10035","GOLGA6L9","GOLGA6L16P","15","15q25.2","A6NEM1","q"
"10036","GOLGA6L10","GOLGA6L17P","15","15q25.2","A6NI86","q"
"10037","GOLGA6L11P","GOLGA6L19","Y","Yq11.23",NA,"q"
"10038","GOLGA6L12P","GOLGA6L2","Y","Yq11.223",NA,"q"
"10039","GOLGA6L13P","GOLGA6L22","Y","Yq11.223",NA,"q"
"10040","GOLGA6L14P","GOLGA6L3","Y","Yq11.223",NA,"q"
"10041","GOLGA6L16P","GOLGA6L4","Y","Yq11.23",NA,"q"
"10042","GOLGA6L17P","GOLGA6L5P","15","15q25.2",NA,"q"
"10043","GOLGA6L19","GOLGA6L6","15","15q25.2 alternate reference locus","H0YKK7","s"
"10044","GOLGA6L22","GOLGA6L7P","15","15q11.2","H0YM25","q"
"10045","GOLGA7","GOLGA6L9","8","8p11.21","Q7Z5G4","p"
"10046","GOLGA7B","GOLGA7","10","10q24.2","Q2TAP0","q"
"10047","GOLGA8A","GOLGA7B","15","15q14","A7E2F4","q"
"10048","GOLGA8B","GOLGA8A","15","15q14","A8MQT2","q"
"10049","GOLGA8CP","GOLGA8B","15","15q11.2","A6NN73","q"
"10050","GOLGA8DP","GOLGA8CP","15","15q11.2","Q0D2H9","q"
"10051","GOLGA8EP","GOLGA8DP","15","15q11.2",NA,"q"
"10052","GOLGA8F","GOLGA8EP","15","15q13.1","Q08AF8","q"
"10053","GOLGA8G","GOLGA8F","15","15q13.1","Q08AF8","q"
